,mean_abs_shap
job,0.11172533847198471
month,0.10257074564961391
poutcome,0.06928394251653575
contact,0.06028356969895495
education,0.05811046978468716
loan,0.05732011835366295
housing,0.05541844750574045
marital,0.039965838706133246
pdays,0.019890404333567705
campaign,0.016639721054154306
age,0.013488936259864106
balance,0.0005560095967528419
day,8.685355167064785e-05
default,4.412295671204075e-05
previous,0.0
