optimizer,n_steps,step_unit,final_loss_full,final_f1
ADAM,30.0,epoch,0.6266796248075657,0.6636568848758465
COBYLA,600.0,objective evaluation,0.627430530135988,0.6288659793814433
SPSA,30.0,epoch,0.7155691972888621,0.6375227686703097
