model,reduction,optimizer,n_folds,accuracy_mean,accuracy_std,accuracy_ci95,precision_mean,precision_std,precision_ci95,recall_mean,recall_std,recall_ci95,f1_mean,f1_std,f1_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,mcc_mean,mcc_std,mcc_ci95,roc_auc_mean,roc_auc_std,roc_auc_ci95,f1_ci95_bca
MLP,LDA,gwo,15,0.6407240991541584,0.044612034108282995,"[0.618, 0.663]",0.18132271617859622,0.01925502989496918,"[0.172, 0.191]",0.5937362637362636,0.06264458992030694,"[0.562, 0.625]",0.2768034644922297,0.024202024162081757,"[0.265, 0.289]",0.6202847985347985,0.027340205024338145,"[0.606, 0.634]",0.15943545283680816,0.03724785126151248,"[0.141, 0.178]",0.6737773351648353,0.03332230945036592,"[0.657, 0.691]","[0.266, 0.290]"
QNN,LDA,default,15,0.6687987092358089,0.05274292604770461,"[0.642, 0.695]",0.18656341828570777,0.018082290507227282,"[0.177, 0.196]",0.5458363858363859,0.071544329065664,"[0.510, 0.582]",0.27633226312791787,0.019827547044509636,"[0.266, 0.286]",0.6153348595848597,0.02188562898782075,"[0.604, 0.626]",0.15716183034015999,0.029976278270865638,"[0.142, 0.172]",0.6770289453601953,0.02661863721083672,"[0.664, 0.690]","[0.264, 0.284]"
XGBoost,LDA,gwo,15,0.6611259961863786,0.05845468437858502,"[0.632, 0.691]",0.18592893457749632,0.02765823106937459,"[0.172, 0.200]",0.5534981684981685,0.0708676958895921,"[0.518, 0.589]",0.27580127178384295,0.026566502171701017,"[0.262, 0.289]",0.6143324175824176,0.02578651892993622,"[0.601, 0.627]",0.15596115289545867,0.03919202145326066,"[0.136, 0.176]",0.6652056776556776,0.030027634850859606,"[0.650, 0.680]","[0.262, 0.288]"
VQC,PCA,gwo,15,0.6357800811616877,0.036477782782864204,"[0.617, 0.654]",0.179160083943095,0.019463730281928632,"[0.169, 0.189]",0.6005982905982905,0.08748350107684766,"[0.556, 0.645]",0.2752918607364042,0.02875490093006098,"[0.261, 0.290]",0.6204658119658119,0.035609024622571456,"[0.602, 0.638]",0.15864201827449004,0.04652110720623475,"[0.135, 0.182]",0.6751312957875458,0.04542158565077066,"[0.652, 0.698]","[0.257, 0.286]"
VQC,LDA,gwo,15,0.6544104369367169,0.12576960652195854,"[0.591, 0.718]",0.18967944251490934,0.03309233643837935,"[0.173, 0.206]",0.5555250305250304,0.14747259874307334,"[0.481, 0.630]",0.2749968275127207,0.026277615204303845,"[0.262, 0.288]",0.6114291819291819,0.026658364717602096,"[0.598, 0.625]",0.1572837024763663,0.036640067785266024,"[0.139, 0.176]",0.6682523733211234,0.031716847011932815,"[0.652, 0.684]","[0.262, 0.288]"
XGBoost,PCA,gwo,15,0.6368767417982693,0.0606885998762782,"[0.606, 0.668]",0.17970259424374013,0.017096152132354003,"[0.171, 0.188]",0.5925091575091573,0.08510104068473613,"[0.549, 0.636]",0.27428689938368944,0.02048098253478287,"[0.264, 0.285]",0.6175879120879123,0.023578001559043577,"[0.606, 0.630]",0.15643547621316806,0.03171387709675413,"[0.140, 0.172]",0.6677393276862026,0.033474057290411245,"[0.651, 0.685]","[0.264, 0.285]"
LogReg,LDA,default,15,0.649484183249401,0.03593776248354984,"[0.631, 0.668]",0.18049100932491205,0.0188697227890457,"[0.171, 0.190]",0.5713553113553114,0.058191703656968435,"[0.542, 0.601]",0.27376332225577993,0.025393538949403088,"[0.261, 0.287]",0.6155109890109891,0.02841353108377515,"[0.601, 0.630]",0.15385090701425155,0.03870731627149295,"[0.134, 0.173]",0.6634202838827838,0.032204003384687284,"[0.647, 0.680]","[0.261, 0.286]"
QNN,PCA,gwo,15,0.6192472171971511,0.06162950050227868,"[0.588, 0.650]",0.17616494959524565,0.01645461195959331,"[0.168, 0.184]",0.6156166056166056,0.08538440174467866,"[0.572, 0.659]",0.2724160252610734,0.02017988784678912,"[0.262, 0.283]",0.6176833028083027,0.02510309925190546,"[0.605, 0.630]",0.15483478899922354,0.03246971833495096,"[0.138, 0.171]",0.6675197725885226,0.029248130940791157,"[0.653, 0.682]","[0.263, 0.283]"
DecisionTree,LDA,gwo,15,0.6389549210384783,0.08333476970013054,"[0.597, 0.681]",0.17909939122766358,0.024837363639872247,"[0.167, 0.192]",0.5712942612942613,0.10505532699725074,"[0.518, 0.624]",0.26959432433912334,0.02735655147807596,"[0.256, 0.283]",0.6095221306471307,0.03182237283327477,"[0.593, 0.626]",0.1480236869039161,0.04328761636728656,"[0.126, 0.170]",0.6453327113858365,0.037301999751864205,"[0.626, 0.664]","[0.255, 0.283]"
RandomForest,PCA,default,15,0.6175652308544793,0.023282960941132726,"[0.606, 0.629]",0.17213174486682678,0.010419767489420929,"[0.167, 0.177]",0.6077899877899877,0.052904339333344784,"[0.581, 0.635]",0.2680334535671882,0.01570514230814974,"[0.260, 0.276]",0.6133116605616605,0.020571178743381345,"[0.603, 0.624]",0.14754074989086166,0.026566612160060725,"[0.134, 0.161]",0.6550399534493284,0.03199307343162641,"[0.639, 0.671]","[0.261, 0.276]"
