,mean_abs_shap
age,0.12152239662702599
active_member,0.10498007238971689
credit_card,0.051111779382381275
country,0.04856925084884346
balance,0.03276808131720925
gender,0.030378283123860306
tenure,0.029676460068489046
estimated_salary,0.0213963235318928
products_number,0.018244213096537093
credit_score,0.012794434336293273
