optimizer,n_steps,step_unit,final_loss_full,final_f1
COBYLA,600.0,objective evaluation,0.6466721403085808,0.59846547314578
ADAM,30.0,epoch,0.6530209316135039,0.5325443786982249
SPSA,30.0,epoch,0.7063653112553154,0.05714285714285714
