fold,model,family,reduction,optimizer,n_train,n_test,search_time_s,best_params,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,tn,fp,fn,tp,status,fit_time_s,n_reduced_features,dataset,inner_f1,n_evaluations,convergence,stopped_early
13,QDT,quantum,PCA,gwo,491,123,6.724165200022981,"{'max_depth': 2, 'min_samples_split': 9, 'map_reps': 3, 'entanglement': 'full'}",0.5528455284552846,0.7301587301587301,0.5476190476190477,0.6258503401360545,0.5558608058608059,0.1040071602771557,0.5644078144078144,22,17,38,46,ok,0.1284136999747716,4,Loan Approval,0.691502959960863,37.0,"[0.691502959960863, 0.691502959960863, 0.691502959960863, 0.691502959960863, 0.691502959960863]",True
14,QDT,quantum,PCA,gwo,492,122,6.235510299971793,"{'max_depth': 3, 'min_samples_split': 3, 'map_reps': 3, 'entanglement': 'linear'}",0.5,0.6949152542372882,0.4880952380952381,0.5734265734265734,0.5072055137844611,0.0133545761787998,0.5234962406015038,20,18,43,41,ok,0.0618941000429913,4,Loan Approval,0.7162162382501366,39.0,"[0.7162162382501366, 0.7162162382501366, 0.7162162382501366, 0.7162162382501366, 0.7162162382501366]",True
0,LogReg,classical,LDA,default,491,123,2.00001522898674e-07,{},0.6910569105691057,0.7764705882352941,0.7764705882352941,0.7764705882352941,0.638235294117647,0.2764705882352941,0.6975232198142415,19,19,19,66,ok,0.0313312000362202,1,Loan Approval,,,,
1,LogReg,classical,LDA,default,491,123,2.00001522898674e-07,{},0.7723577235772358,0.8064516129032258,0.8823529411764706,0.8426966292134831,0.7043343653250773,0.4397142785482557,0.8021671826625387,20,18,10,75,ok,0.029856999986805,1,Loan Approval,,,,
2,LogReg,classical,LDA,default,491,123,3.00002284348011e-07,{},0.7398373983739838,0.8421052631578947,0.7619047619047619,0.8,0.7271062271062271,0.4349859800897231,0.7802197802197802,27,12,20,64,ok,0.0264687000308185,1,Loan Approval,,,,
3,LogReg,classical,LDA,default,491,123,2.00001522898674e-07,{},0.6991869918699187,0.7701149425287356,0.7976190476190477,0.783625730994152,0.6423992673992674,0.2912720554231812,0.731990231990232,19,20,17,67,ok,0.0316796000115573,1,Loan Approval,,,,
4,LogReg,classical,LDA,default,492,122,2.00001522898674e-07,{},0.7213114754098361,0.8289473684210527,0.75,0.7875,0.7039473684210527,0.3897569166195156,0.8026315789473684,25,13,21,63,ok,0.0269307999988086,1,Loan Approval,,,,
5,LogReg,classical,LDA,default,491,123,2.00001522898674e-07,{},0.7073170731707317,0.8024691358024691,0.7647058823529411,0.7831325301204819,0.6718266253869969,0.334853284340833,0.7578947368421053,22,16,20,65,ok,0.026833500014618,1,Loan Approval,,,,
6,LogReg,classical,LDA,default,491,123,2.00001522898674e-07,{},0.7723577235772358,0.8701298701298701,0.788235294117647,0.8271604938271605,0.7625386996904024,0.5014184480136586,0.7820433436532508,28,10,18,67,ok,0.0284397000214085,1,Loan Approval,,,,
7,LogReg,classical,LDA,default,491,123,3.00002284348011e-07,{},0.7073170731707317,0.7666666666666667,0.8214285714285714,0.7931034482758621,0.6414835164835164,0.2971868323462756,0.7286324786324786,18,21,15,69,ok,0.028300300007686,1,Loan Approval,,,,
8,LogReg,classical,LDA,default,491,123,3.00002284348011e-07,{},0.7073170731707317,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.6620879120879121,0.3241758241758242,0.7283272283272283,21,18,18,66,ok,0.0282841000007465,1,Loan Approval,,,,
9,LogReg,classical,LDA,default,492,122,3.00002284348011e-07,{},0.7049180327868853,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.6992481203007519,0.375235932464538,0.7976190476190477,26,12,24,60,ok,0.0277171999914571,1,Loan Approval,,,,
10,LogReg,classical,LDA,default,491,123,2.00001522898674e-07,{},0.6991869918699187,0.8076923076923077,0.7411764705882353,0.7730061349693251,0.673219814241486,0.3323343767493182,0.7133126934984519,23,15,22,63,ok,0.0288193000014871,1,Loan Approval,,,,
11,LogReg,classical,LDA,default,491,123,3.00002284348011e-07,{},0.8292682926829268,0.8333333333333334,0.9411764705882352,0.8839779005524862,0.760061919504644,0.5806180354256794,0.8362229102167182,22,16,5,80,ok,0.0267900000326335,1,Loan Approval,,,,
12,LogReg,classical,LDA,default,491,123,3.00002284348011e-07,{},0.7398373983739838,0.825,0.7857142857142857,0.8048780487804879,0.7133699633699634,0.4164434191942978,0.782051282051282,25,14,18,66,ok,0.0349367999588139,1,Loan Approval,,,,
13,LogReg,classical,LDA,default,491,123,5.00003807246685e-07,{},0.6341463414634146,0.782608695652174,0.6428571428571429,0.7058823529411765,0.6291208791208791,0.2421458281962812,0.728937728937729,24,15,30,54,ok,0.0310583999962545,1,Loan Approval,,,,
14,LogReg,classical,LDA,default,492,122,2.999440766870976e-07,{},0.7377049180327869,0.8023255813953488,0.8214285714285714,0.8117647058823529,0.6870300751879699,0.379815259879369,0.7731829573934837,21,17,15,69,ok,0.0331021000165492,1,Loan Approval,,,,
0,SVC,classical,LDA,default,491,123,2.00001522898674e-07,{},0.8373983739837398,0.8421052631578947,0.9411764705882352,0.8888888888888888,0.7732198142414861,0.6021471431945106,0.765015479876161,23,15,5,80,ok,0.0561409999500028,1,Loan Approval,,,,
1,SVC,classical,LDA,default,491,123,2.00001522898674e-07,{},0.7398373983739838,0.7623762376237624,0.9058823529411764,0.8279569892473119,0.6371517027863777,0.3307199803041764,0.6845201238390093,14,24,8,77,ok,0.0572041000123135,1,Loan Approval,,,,
2,SVC,classical,LDA,default,491,123,3.00002284348011e-07,{},0.7967479674796748,0.8241758241758241,0.8928571428571429,0.8571428571428571,0.7413003663003663,0.5118753759413607,0.7573260073260073,23,16,9,75,ok,0.0496744000120088,1,Loan Approval,,,,
3,SVC,classical,LDA,default,491,123,3.00002284348011e-07,{},0.7642276422764228,0.7956989247311828,0.8809523809523809,0.8361581920903954,0.6968864468864469,0.4266931413858753,0.7078754578754578,20,19,10,74,ok,0.054093099955935,1,Loan Approval,,,,
4,SVC,classical,LDA,default,492,122,4.00003045797348e-07,{},0.7704918032786885,0.7916666666666666,0.9047619047619048,0.8444444444444444,0.6892230576441103,0.4279698775065284,0.7343358395989975,18,20,8,76,ok,0.0401722000096924,1,Loan Approval,,,,
5,SVC,classical,LDA,default,491,123,2.00001522898674e-07,{},0.7723577235772358,0.8064516129032258,0.8823529411764706,0.8426966292134831,0.7043343653250773,0.4397142785482557,0.7421052631578947,20,18,10,75,ok,0.0510365999653004,1,Loan Approval,,,,
6,SVC,classical,LDA,default,491,123,2.00001522898674e-07,{},0.7317073170731707,0.7708333333333334,0.8705882352941177,0.8176795580110497,0.6458204334365325,0.3255608270065416,0.7207430340557276,16,22,11,74,ok,0.0553444999968633,1,Loan Approval,,,,
7,SVC,classical,LDA,default,491,123,3.00002284348011e-07,{},0.7723577235772358,0.7592592592592593,0.9761904761904762,0.8541666666666666,0.6547619047619048,0.4401579001589207,0.684981684981685,13,26,2,82,ok,0.0392819999833591,1,Loan Approval,,,,
8,SVC,classical,LDA,default,491,123,3.00002284348011e-07,{},0.7967479674796748,0.8041237113402062,0.9285714285714286,0.861878453038674,0.7206959706959707,0.5030646551736576,0.7786935286935287,20,19,6,78,ok,0.0426645000115968,1,Loan Approval,,,,
9,SVC,classical,LDA,default,492,122,3.00002284348011e-07,{},0.819672131147541,0.81,0.9642857142857144,0.8804347826086957,0.7321428571428572,0.5592492648718819,0.7362155388471179,19,19,3,81,ok,0.0476445000385865,1,Loan Approval,,,,
10,SVC,classical,LDA,default,491,123,3.00002284348011e-07,{},0.7479674796747967,0.8,0.8470588235294118,0.8228571428571428,0.686687306501548,0.3893747830094822,0.7269349845201238,20,18,13,72,ok,0.039718099986203,1,Loan Approval,,,,
11,SVC,classical,LDA,default,491,123,3.00002284348011e-07,{},0.7886178861788617,0.780952380952381,0.9647058823529412,0.8631578947368421,0.6797213622291022,0.469894169721876,0.7250773993808048,15,23,3,82,ok,0.041005800012499,1,Loan Approval,,,,
12,SVC,classical,LDA,default,491,123,3.00002284348011e-07,{},0.8211382113821138,0.8229166666666666,0.9404761904761904,0.8777777777777778,0.7522893772893773,0.5672616298337038,0.8025030525030525,22,17,5,79,ok,0.0472318999818526,1,Loan Approval,,,,
13,SVC,classical,LDA,default,491,123,4.00003045797348e-07,{},0.7560975609756098,0.7647058823529411,0.9285714285714286,0.8387096774193549,0.6565934065934066,0.3873162166686594,0.6797924297924298,15,24,6,78,ok,0.053112499997951,1,Loan Approval,,,,
14,SVC,classical,LDA,default,492,122,3.00002284348011e-07,{},0.8032786885245902,0.7884615384615384,0.9761904761904762,0.8723404255319149,0.6986215538847118,0.5187222655811402,0.7506265664160401,16,22,2,82,ok,0.0451369999791495,1,Loan Approval,,,,
0,DecisionTree,classical,LDA,default,491,123,2.00001522898674e-07,{},0.6016260162601627,0.75,0.6352941176470588,0.6878980891719745,0.5808049535603714,0.1515716246030618,0.5808049535603717,20,18,31,54,ok,0.0256125999731011,1,Loan Approval,,,,
1,DecisionTree,classical,LDA,default,491,123,2.00001522898674e-07,{},0.6747967479674797,0.835820895522388,0.6588235294117647,0.7368421052631579,0.6846749226006192,0.342694999710403,0.6846749226006191,27,11,29,56,ok,0.0259977999958209,1,Loan Approval,,,,
