,mean_abs_shap
Credit_History,0.08291126067756623
Property_Area,0.04358154153608883
Married,0.03246468792161081
Dependents,0.018958915476559958
Education,0.018076812433659627
LoanAmount,0.01434678066194194
CoapplicantIncome,0.0075230826906764765
Loan_Amount_Term,0.005339672213169502
ApplicantIncome,0.0042592006912770255
Self_Employed,0.003870551370304841
Gender,0.0010805874846136158
