n_layers,decay_rate_alpha,intercept,r_squared,p_value,stderr,interpretation
1,0.6232268488377025,-1.436010755722652,0.878970756117226,0.0018107810739854146,0.10342346871624446,exponential decay consistent with a barren plateau
2,0.6388229443462939,-1.4448957177820572,0.9622353117002732,9.539873899614601e-05,0.05659757335113861,exponential decay consistent with a barren plateau
4,0.7131413570176568,-0.9252479380525269,0.9972554058537393,1.3412210383528753e-07,0.016731176770769598,exponential decay consistent with a barren plateau
6,0.6361239568742045,-1.2116596772674297,0.9980454205528754,5.7387271398370335e-08,0.012589493568168082,exponential decay consistent with a barren plateau
