fold,model,family,reduction,optimizer,n_train,n_test,inner_f1,n_evaluations,convergence,stopped_early,search_time_s,best_params,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,tn,fp,fn,tp,status,fit_time_s,n_reduced_features,dataset
10,VQC,quantum,LDA,gwo,1200,10962,0.2281489700844539,96,"[0.22230445344082828, 0.22230445344082828, 0.22230445344082828, 0.22230445344082828, 0.2255703463708315, 0.2255703463708315, 0.2255703463708315, 0.2255703463708315, 0.22636196637274253, 0.22636196637274253, 0.22814897008445398, 0.22814897008445398]",False,497.9101105000009,"{'n_layers': 1, 'learning_rate': 0.016703199863517957, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'circular', 'init_scale': 0.24926401440199028}",0.6247947454844006,0.1428892383733992,0.6809421841541756,0.2362116991643454,0.65025370077274,0.1708374692108407,0.7228167981899076,6213,3815,298,636,ok,1.4264499999699185,1,HR Promotion
11,VQC,quantum,LDA,gwo,1200,10962,0.2269784391132705,80,"[0.21466768699581393, 0.21832275140093618, 0.22433486117696644, 0.22433486117696644, 0.22433486117696644, 0.22697843911327056, 0.22697843911327056, 0.22697843911327056, 0.22697843911327056, 0.22697843911327056]",True,605.4155070999986,"{'n_layers': 5, 'learning_rate': 0.04308498423278966, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'full', 'init_scale': 0.30113475896331854}",0.6827221309979931,0.1573275862068965,0.6252676659528907,0.2513990529487731,0.6566705302241518,0.1848523272374334,0.720615146967506,6900,3128,350,584,ok,2.2828734000213444,1,HR Promotion
12,VQC,quantum,LDA,gwo,1200,10962,0.270169976740025,96,"[0.2263685169207171, 0.2263685169207171, 0.2263685169207171, 0.23222969676870386, 0.23222969676870386, 0.23222969676870386, 0.2346795258187663, 0.270169976740025, 0.270169976740025, 0.270169976740025, 0.270169976740025, 0.270169976740025]",True,684.8421923000133,"{'n_layers': 4, 'learning_rate': 0.14651662034144158, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'full', 'init_scale': 0.3141704773398996}",0.7155628534938879,0.1617100371747211,0.5588865096359743,0.2508409418548775,0.6445210370277996,0.1770405779861967,0.7042349408807373,7322,2706,412,522,ok,1.7056505999644287,1,HR Promotion
13,VQC,quantum,LDA,gwo,1200,10961,0.2340662055335968,48,"[0.22503548628446365, 0.23406620553359683, 0.23406620553359683, 0.23406620553359683, 0.23406620553359683, 0.23406620553359683]",True,357.06472959998064,"{'n_layers': 4, 'learning_rate': 0.49999999999999994, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'full', 'init_scale': 0.12155530851228831}",0.3478697199160661,0.105997210599721,0.8960342979635584,0.1895691609977324,0.5964515327073476,0.1198337807700747,0.686226208630839,2977,7051,97,836,ok,4.045479600026738,1,HR Promotion
14,VQC,quantum,LDA,gwo,1200,10961,0.2594364699627857,96,"[0.21545322394506308, 0.23691865251418723, 0.23691865251418723, 0.24074074074074073, 0.2440961815961816, 0.2440961815961816, 0.2440961815961816, 0.25739896523029054, 0.25739896523029054, 0.25739896523029054, 0.25739896523029054, 0.25943646996278574]",False,674.6914823999978,"{'n_layers': 6, 'learning_rate': 0.49999999999999994, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'full', 'init_scale': 0.31230769514993617}",0.5656418210017334,0.1236728273692489,0.6741693461950696,0.2090048180760923,0.6148569108318787,0.128541391862244,0.6724604120253215,5571,4457,304,629,ok,2.3921917999978177,1,HR Promotion
0,QSVC,quantum,LDA,gwo,1200,10962,0.2081043919451975,88,"[0.19951691251620352, 0.19951691251620352, 0.20509941170562931, 0.20738636640375152, 0.20738636640375152, 0.20775193798449612, 0.2081043919451975, 0.2081043919451975, 0.2081043919451975, 0.2081043919451975, 0.2081043919451975]",True,247.15419839997776,"{'C': 2.1667565117641114, 'map_reps': 1, 'scale': 0.25, 'entanglement': 'linear'}",0.6319102353585112,0.1502368599142792,0.7130620985010707,0.2481833426495248,0.6687069567096499,0.1919426063756238,0.7384068185098854,6261,3767,268,666,ok,22.153384500008546,1,HR Promotion
1,QSVC,quantum,LDA,gwo,1200,10962,0.2440685066363186,72,"[0.21176153984194998, 0.22155388717600544, 0.23863006021101688, 0.23946311562037623, 0.2440685066363186, 0.2440685066363186, 0.2440685066363186, 0.2440685066363186, 0.2440685066363186]",True,196.49718519998717,"{'C': 0.010000000000000004, 'map_reps': 1, 'scale': 0.26762006720443, 'entanglement': 'full'}",0.752964787447546,0.1802451333813987,0.5353319057815846,0.2696871628910464,0.6542834239717656,0.1981470995360777,0.2840991690077205,7754,2274,434,500,ok,31.39571860001888,1,HR Promotion
2,QSVC,quantum,LDA,gwo,1200,10962,0.2289016517596917,80,"[0.2133728430898242, 0.22574578653010025, 0.22574578653010025, 0.22716741017394612, 0.22842196280011182, 0.2289016517596917, 0.2289016517596917, 0.2289016517596917, 0.2289016517596917, 0.2289016517596917]",True,290.271179399977,"{'C': 3.118422480353376, 'map_reps': 3, 'scale': 0.25, 'entanglement': 'circular'}",0.6668491151249772,0.1501029866117404,0.6241970021413277,0.2420091324200913,0.6475093506917249,0.1722008369719048,0.6994583794924532,6727,3301,351,583,ok,29.558219099999405,1,HR Promotion
3,QSVC,quantum,LDA,gwo,1200,10961,0.2292788125080721,80,"[0.21839121518347274, 0.22423737934281776, 0.22601009161345986, 0.22885891146260331, 0.2289660321015304, 0.22924643747569706, 0.22924643747569706, 0.2292788125080721, 0.2292788125080721, 0.2292788125080721]",True,222.93543309997767,"{'C': 100.00000000000013, 'map_reps': 1, 'scale': 0.3356332790996471, 'entanglement': 'circular'}",0.6425508621476143,0.1385323322838459,0.6130760986066452,0.2259976293954958,0.6291846388525847,0.1487964210305418,0.6919601535849674,6471,3557,361,572,ok,26.3735619999934,1,HR Promotion
4,QSVC,quantum,LDA,gwo,1200,10961,0.260492254259185,72,"[0.20981742875807888, 0.21867227185146257, 0.23667052125956234, 0.2372939486320699, 0.26049225425918504, 0.26049225425918504, 0.26049225425918504, 0.26049225425918504, 0.26049225425918504]",True,202.33218670001952,"{'C': 0.11314958047229783, 'map_reps': 1, 'scale': 0.25, 'entanglement': 'linear'}",0.747012133929386,0.1661828737300435,0.4908896034297964,0.2483057739224722,0.6308656234141403,0.168354472858922,0.6974686312408858,7730,2298,475,458,ok,31.09572439995827,1,HR Promotion
