,mean_abs_shap
avg_training_score,0.17616067937607677
department,0.12084098124643539
region,0.07378946475188018
previous_year_rating,0.054845327311243044
length_of_service,0.050714615809164774
age,0.03199470233926487
recruitment_channel,0.025976085420005297
gender,0.01998328134879258
no_of_trainings,0.01072703537677407
awards_won?,0.006162045905040219
education,0.0048461349195677485
