fold,model,family,reduction,optimizer,n_train,n_test,search_time_s,best_params,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,tn,fp,fn,tp,status,fit_time_s,n_reduced_features,dataset,inner_f1,n_evaluations,convergence,stopped_early
6,DecisionTree,classical,LDA,gwo,1200,10962,2.615003500017337,"{'max_depth': 5, 'min_samples_leaf': 11}",0.7173873380769933,0.1622971285892634,0.556745182012848,0.2513291445142581,0.6445473018161567,0.1774595780017991,0.6715881292552159,7344,2684,414,520,ok,0.0625619000056758,1,HR Promotion,0.2017615721990968,35.0,"[0.20176157219909685, 0.20176157219909685, 0.20176157219909685, 0.20176157219909685, 0.20176157219909685]",True
7,DecisionTree,classical,LDA,gwo,1200,10962,3.008609999960754,"{'max_depth': 7, 'min_samples_leaf': 1}",0.5403211092866266,0.1188486536675951,0.6852248394004282,0.2025636967874663,0.606024864853784,0.1184200248582525,0.6327811037019258,5283,4745,294,640,ok,0.0518765000160783,1,HR Promotion,0.2257994018863584,45.0,"[0.22116406524812393, 0.22116406524812393, 0.2224571514971038, 0.22579940188635841, 0.22579940188635841, 0.22579940188635841, 0.22579940188635841, 0.22579940188635841]",True
8,DecisionTree,classical,LDA,gwo,1200,10961,2.575371599989012,"{'max_depth': 2, 'min_samples_leaf': 4}",0.743910227169054,0.1693719124911785,0.5144694533762058,0.2548447040084948,0.639863366496639,0.1782858618542526,0.6801093593885674,7674,2354,453,480,ok,0.0618359000072814,1,HR Promotion,0.2426351193799511,36.0,"[0.2426351193799511, 0.2426351193799511, 0.2426351193799511, 0.2426351193799511, 0.2426351193799511]",True
9,DecisionTree,classical,LDA,gwo,1200,10961,2.48383499996271,"{'max_depth': 2, 'min_samples_leaf': 4}",0.6599762795365386,0.1574301128003923,0.6881028938906752,0.256236280183596,0.672731143794161,0.1994509611618023,0.7119539565743249,6592,3436,291,642,ok,0.0673842999967746,1,HR Promotion,0.2424882872044311,36.0,"[0.24248828720443116, 0.24248828720443116, 0.24248828720443116, 0.24248828720443116, 0.24248828720443116]",True
10,DecisionTree,classical,LDA,gwo,1200,10962,2.2186289000092074,"{'max_depth': 13, 'min_samples_leaf': 13}",0.5900383141762452,0.1385052802599512,0.7301927194860813,0.2328439740525776,0.6535885815220595,0.1724105945123127,0.7081437499626313,5786,4242,252,682,ok,0.0670307999826036,1,HR Promotion,0.2286231318023225,34.0,"[0.22862313180232255, 0.22862313180232255, 0.22862313180232255, 0.22862313180232255, 0.22862313180232255]",True
11,DecisionTree,classical,LDA,gwo,1200,10962,3.2034092999529094,"{'max_depth': 5, 'min_samples_leaf': 9}",0.661923006750593,0.1491139240506329,0.6306209850107066,0.2411957411957412,0.6477297186720865,0.1718141649421745,0.7130320968525814,6667,3361,345,589,ok,0.0474998000427149,1,HR Promotion,0.2675988038325004,50.0,"[0.2643329850226402, 0.2643329850226402, 0.26759880383250045, 0.26759880383250045, 0.26759880383250045, 0.26759880383250045, 0.26759880383250045]",True
12,DecisionTree,classical,LDA,gwo,1200,10962,2.3620738000026904,"{'max_depth': 7, 'min_samples_leaf': 17}",0.6344645137748586,0.1478340591336236,0.6905781584582441,0.2435340758920143,0.6599081458426044,0.1824103654149011,0.7111444486487085,6310,3718,289,645,ok,0.0700969999888911,1,HR Promotion,0.2440248161481892,34.0,"[0.2440248161481892, 0.2440248161481892, 0.2440248161481892, 0.2440248161481892, 0.2440248161481892]",True
13,DecisionTree,classical,LDA,gwo,1200,10961,2.1788005999987945,"{'max_depth': 3, 'min_samples_leaf': 18}",0.7289480886780403,0.169799092676604,0.5616291532690246,0.2607613834287136,0.6530722551347117,0.1899552138909199,0.6993614022216893,7466,2562,409,524,ok,0.0885197999887168,1,HR Promotion,0.2880844645550528,31.0,"[0.2880844645550528, 0.2880844645550528, 0.2880844645550528, 0.2880844645550528, 0.2880844645550528]",True
14,DecisionTree,classical,LDA,gwo,1200,10961,2.554229800007306,"{'max_depth': 3, 'min_samples_leaf': 11}",0.7573214122799015,0.1807763401109057,0.5241157556270096,0.2688290269378779,0.651567251566995,0.1962071722566199,0.7070264887468357,7812,2216,444,489,ok,0.061959900020156,1,HR Promotion,0.2496703289938559,37.0,"[0.24967032899385597, 0.24967032899385597, 0.24967032899385597, 0.24967032899385597, 0.24967032899385597]",True
0,RandomForest,classical,LDA,gwo,1200,10962,42.24047290004091,"{'max_depth': 10, 'min_samples_leaf': 15, 'max_features': None}",0.6476920270023718,0.1383399209486166,0.5995717344753747,0.2248093135287033,0.6258728237594264,0.1456322743333429,0.6636640639613792,6540,3488,374,560,ok,0.606713299988769,1,HR Promotion,0.2026468690436897,38.0,"[0.20264686904368978, 0.20264686904368978, 0.20264686904368978, 0.20264686904368978, 0.20264686904368978]",True
1,RandomForest,classical,LDA,gwo,1200,10962,48.17267739999807,"{'max_depth': 20, 'min_samples_leaf': 15, 'max_features': 'sqrt'}",0.6656632001459588,0.1456008305216714,0.6006423982869379,0.2343847921453937,0.6361807922826792,0.1592658601037184,0.6957684436468681,6736,3292,373,561,ok,0.4373951000161469,1,HR Promotion,0.2558943655434884,47.0,"[0.2546160018490173, 0.2558943655434884, 0.2558943655434884, 0.2558943655434884, 0.2558943655434884, 0.2558943655434884]",True
2,RandomForest,classical,LDA,gwo,1200,10962,42.20704960002331,"{'max_depth': 12, 'min_samples_leaf': 7, 'max_features': 'sqrt'}",0.7239554825761723,0.1755583126550868,0.6059957173447538,0.2722462722462722,0.6704689396456518,0.2089026633393536,0.7157995086989832,7370,2658,368,566,ok,0.6550758000230417,1,HR Promotion,0.2276963783036415,39.0,"[0.22769637830364156, 0.22769637830364156, 0.22769637830364156, 0.22769637830364156, 0.22769637830364156]",True
3,RandomForest,classical,LDA,gwo,1200,10961,55.78249220002908,"{'max_depth': 7, 'min_samples_leaf': 14, 'max_features': 'log2'}",0.6316029559346775,0.1451428571428571,0.6806002143622722,0.2392614920874152,0.6538222451946982,0.1753061832206641,0.7215090885926693,6288,3740,298,635,ok,0.355454100004863,1,HR Promotion,0.2699585443696662,58.0,"[0.26808596540397306, 0.26808596540397306, 0.26808596540397306, 0.26995854436966626, 0.26995854436966626, 0.26995854436966626, 0.26995854436966626, 0.26995854436966626]",True
4,RandomForest,classical,LDA,gwo,1200,10961,42.54811030003475,"{'max_depth': 9, 'min_samples_leaf': 14, 'max_features': None}",0.6589727214670195,0.1439451637471439,0.6077170418006431,0.2327586206896551,0.6357292827670946,0.1578803684942691,0.6870435877079012,6656,3372,366,567,ok,0.5963806000072509,1,HR Promotion,0.263214152103041,39.0,"[0.263214152103041, 0.263214152103041, 0.263214152103041, 0.263214152103041, 0.263214152103041]",True
5,RandomForest,classical,LDA,gwo,1200,10962,55.13400009996258,"{'max_depth': 3, 'min_samples_leaf': 4, 'max_features': 'log2'}",0.7279693486590039,0.1707395498392283,0.5685224839400428,0.2626112759643917,0.6556712938248279,0.1928185405772023,0.7044188477829528,7449,2579,403,531,ok,0.3584382000262849,1,HR Promotion,0.2454478421056425,57.0,"[0.24463360900607864, 0.24482806821358682, 0.24482806821358682, 0.24544784210564252, 0.24544784210564252, 0.24544784210564252, 0.24544784210564252, 0.24544784210564252]",True
6,RandomForest,classical,LDA,gwo,1200,10962,61.4998308000504,"{'max_depth': 12, 'min_samples_leaf': 15, 'max_features': 'sqrt'}",0.6420361247947455,0.1399325626204239,0.6220556745182013,0.2284703106567046,0.6329763813356862,0.1530674610068504,0.6870485872960422,6457,3571,353,581,ok,0.3225995999528095,1,HR Promotion,0.2105696558716693,68.0,"[0.20993133837354946, 0.20993133837354946, 0.20993133837354946, 0.21009240009240013, 0.21056965587166931, 0.21056965587166931, 0.21056965587166931, 0.21056965587166931, 0.21056965587166931]",True
7,RandomForest,classical,LDA,gwo,1200,10962,42.59353670000564,"{'max_depth': 11, 'min_samples_leaf': 8, 'max_features': 'log2'}",0.678890713373472,0.1449752883031301,0.5653104925053534,0.2307692307692307,0.6273899889730596,0.1510151036904996,0.6659881240449653,6914,3114,406,528,ok,0.594748699979391,1,HR Promotion,0.2367607794354382,38.0,"[0.23676077943543825, 0.23676077943543825, 0.23676077943543825, 0.23676077943543825, 0.23676077943543825]",True
8,RandomForest,classical,LDA,gwo,1200,10961,42.53674579999642,"{'max_depth': 19, 'min_samples_leaf': 7, 'max_features': 'log2'}",0.585804214943892,0.1309596889707387,0.6859592711682744,0.2199312714776632,0.6312225554086286,0.1473424570458995,0.6827318128746477,5781,4247,293,640,ok,0.5910216000047512,1,HR Promotion,0.2255466766409603,38.0,"[0.22554667664096037, 0.22554667664096037, 0.22554667664096037, 0.22554667664096037, 0.22554667664096037]",True
9,RandomForest,classical,LDA,gwo,1200,10961,40.57069719996071,"{'max_depth': 12, 'min_samples_leaf': 12, 'max_features': 'log2'}",0.6768543016148162,0.1610808002078461,0.6645230439442658,0.2593057298201589,0.6712623197383873,0.2002488233481627,0.7345724575689676,6799,3229,313,620,ok,0.6369288000278175,1,HR Promotion,0.2323382691228902,37.0,"[0.23233826912289024, 0.23233826912289024, 0.23233826912289024, 0.23233826912289024, 0.23233826912289024]",True
10,RandomForest,classical,LDA,gwo,1200,10962,42.1635285000084,"{'max_depth': 18, 'min_samples_leaf': 9, 'max_features': None}",0.5792738551359241,0.134684147794994,0.7259100642398287,0.2272117962466488,0.6457631693357102,0.163323130600576,0.7055452441942006,5672,4356,256,678,ok,0.6170249000424519,1,HR Promotion,0.2175013263718046,38.0,"[0.21750132637180464, 0.21750132637180464, 0.21750132637180464, 0.21750132637180464, 0.21750132637180464]",True
