model,reduction,optimizer,n_folds,accuracy_mean,accuracy_std,accuracy_ci95,precision_mean,precision_std,precision_ci95,recall_mean,recall_std,recall_ci95,f1_mean,f1_std,f1_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,mcc_mean,mcc_std,mcc_ci95,roc_auc_mean,roc_auc_std,roc_auc_ci95,f1_ci95_bca
DecisionTree,PCA,default,15,0.5536940779243859,0.044294138700991685,"[0.531, 0.576]",0.7297194128294908,0.04714506782865295,"[0.706, 0.754]",0.5609150326797384,0.059100096488408485,"[0.531, 0.591]",0.6322509890415196,0.042697073149262424,"[0.611, 0.654]",0.5495758249318622,0.05364555376531754,"[0.522, 0.577]",0.09285577411997856,0.10001866230535873,"[0.042, 0.143]",0.5495758249318621,0.05364555376531753,"[0.522, 0.577]","[0.612, 0.654]"
SVC,PCA,default,15,0.545070860544671,0.038330890459535666,"[0.526, 0.564]",0.7128497117832148,0.040351351530630485,"[0.692, 0.733]",0.5692623716153127,0.061289030844784397,"[0.538, 0.600]",0.6309970363759763,0.041206116881189504,"[0.610, 0.652]",0.5305151264284391,0.04696445594998154,"[0.507, 0.554]",0.05650214141190562,0.08781684590441377,"[0.012, 0.101]",0.5488541142952906,0.050678165676123176,"[0.523, 0.575]","[0.610, 0.650]"
VQC,LDA,default,15,0.5569772091163535,0.04606929402298127,"[0.534, 0.580]",0.7409192680557765,0.04157959432019925,"[0.720, 0.762]",0.5499159663865547,0.08291167479166053,"[0.508, 0.592]",0.6275056227218462,0.0565928579260873,"[0.599, 0.656]",0.561552675051127,0.04291820978043217,"[0.540, 0.583]",0.11583053270529663,0.08087514031398704,"[0.075, 0.157]",0.5883854432461244,0.06705156317699665,"[0.554, 0.622]","[0.599, 0.654]"
VQC,PCA,gwo,15,0.565013994402239,0.12545019948075434,"[0.502, 0.629]",0.6561366647743597,0.18819716738186937,"[0.561, 0.751]",0.6327544351073763,0.2924198307760853,"[0.485, 0.781]",0.6253196126792273,0.21769157154177432,"[0.515, 0.735]",0.5233947614133373,0.05524727124985664,"[0.495, 0.551]",0.06253200112855492,0.11835574508843653,"[0.003, 0.122]",0.524881037435217,0.07269894704402974,"[0.488, 0.562]","[0.486, 0.702]"
RandomForest,PCA,default,15,0.5472211115553779,0.05073891690539555,"[0.522, 0.573]",0.723998383589729,0.04069640843965132,"[0.703, 0.745]",0.553109243697479,0.06515040399706486,"[0.520, 0.586]",0.6252920639993483,0.049758580130916746,"[0.600, 0.650]",0.5436486389427567,0.05555777820389277,"[0.516, 0.572]",0.0817226126041932,0.10448665446209159,"[0.029, 0.135]",0.5796784917295753,0.05719864513045021,"[0.551, 0.609]","[0.606, 0.655]"
QSVC,PCA,default,15,0.5434715002887734,0.030353531214249812,"[0.528, 0.559]",0.7178351045176565,0.03044715477364534,"[0.702, 0.733]",0.5553127917833799,0.045748378147021526,"[0.532, 0.578]",0.6249636511483244,0.03226730230592327,"[0.609, 0.641]",0.5364283257162513,0.0381509826707533,"[0.517, 0.556]",0.06759214345915673,0.07133652415844485,"[0.031, 0.104]",0.551154343878802,0.05003815012208066,"[0.526, 0.576]","[0.610, 0.640]"
QSVC,PCA,gwo,15,0.5542893953529701,0.06958827606447768,"[0.519, 0.590]",0.7391398528503154,0.05048724373711103,"[0.714, 0.765]",0.5459477124183005,0.11524333040078343,"[0.488, 0.604]",0.6199993249882992,0.1012959304530904,"[0.569, 0.671]",0.5595010716837342,0.061681530327072,"[0.528, 0.591]",0.11228836127390983,0.1147240207888488,"[0.054, 0.170]",0.5471484329224267,0.08655297997020829,"[0.503, 0.591]","[0.539, 0.656]"
QNN,PCA,default,15,0.5385134834954908,0.04236403594437805,"[0.517, 0.560]",0.7147942590535805,0.03233228397547423,"[0.698, 0.731]",0.5481886087768439,0.0805709923970766,"[0.507, 0.589]",0.6172198220862354,0.055941681361239,"[0.589, 0.646]",0.5328437420852282,0.03632197479440369,"[0.514, 0.551]",0.06175186570401869,0.06769140337273456,"[0.027, 0.096]",0.5468544601826334,0.05775624211715004,"[0.518, 0.576]","[0.590, 0.643]"
MLP,PCA,default,15,0.5341552267981696,0.05108131389051541,"[0.508, 0.560]",0.716102022504386,0.05061577352023241,"[0.690, 0.742]",0.537908496732026,0.07439846696374065,"[0.500, 0.576]",0.6113684667251159,0.05488105812132776,"[0.584, 0.639]",0.5318197454420364,0.06004326443218981,"[0.501, 0.562]",0.059224925890401244,0.11265399551750883,"[0.002, 0.116]",0.5448901224907416,0.059963763684673876,"[0.515, 0.575]","[0.582, 0.636]"
QSVC,LDA,default,15,0.5505220134168555,0.06812478771259148,"[0.516, 0.585]",0.7573890556313484,0.07664772984464936,"[0.719, 0.796]",0.5149486461251167,0.08247472754050215,"[0.473, 0.557]",0.6091589547074012,0.06831231087889156,"[0.575, 0.644]",0.5715993792928777,0.07671988705959154,"[0.533, 0.610]",0.1356177627709572,0.14550774798410404,"[0.062, 0.209]",0.5715097131970197,0.08000569800401543,"[0.531, 0.612]","[0.578, 0.645]"
VQC,PCA,default,15,0.5228841796614688,0.04727092274694696,"[0.499, 0.547]",0.7017856906774596,0.04150723863660371,"[0.681, 0.723]",0.5330532212885153,0.08477067714954674,"[0.490, 0.576]",0.6024677702223292,0.0601698080329112,"[0.572, 0.633]",0.5163916578777259,0.04787991234361624,"[0.492, 0.541]",0.030235235762907115,0.08906177653909088,"[-0.015, 0.075]",0.5205101050766684,0.05925729606621863,"[0.491, 0.550]","[0.569, 0.627]"
MLP,PCA,gwo,15,0.5315340530454485,0.051236846663508855,"[0.506, 0.557]",0.7247289277132032,0.042856108532178104,"[0.703, 0.746]",0.5184500466853408,0.10470378340065957,"[0.465, 0.571]",0.5979474409733678,0.07327014769790915,"[0.561, 0.635]",0.5398817934731247,0.04418462989215307,"[0.518, 0.562]",0.07586927829562026,0.08441715550870416,"[0.033, 0.119]",0.5500237773921984,0.04351756136107001,"[0.528, 0.572]","[0.557, 0.631]"
QDT,PCA,default,15,0.5270514016615576,0.08724376392287363,"[0.483, 0.571]",0.7013584673648509,0.0536837367027379,"[0.674, 0.729]",0.5428197945845006,0.2163743323436681,"[0.433, 0.652]",0.5864138039473238,0.1634521574441887,"[0.504, 0.669]",0.5187558262171266,0.03999324430819927,"[0.499, 0.539]",0.03411467200544559,0.08252624942882206,"[-0.008, 0.076]",0.5239873880276357,0.05639777964303171,"[0.495, 0.553]","[0.490, 0.653]"
XGBoost,PCA,gwo,15,0.5081567373050779,0.03491460344482321,"[0.490, 0.526]",0.6972439003189567,0.03951853949784151,"[0.677, 0.717]",0.50703081232493,0.05516463162538151,"[0.479, 0.535]",0.5849859071379099,0.03896951796462903,"[0.565, 0.605]",0.5083512136298514,0.046714766241029514,"[0.485, 0.532]",0.015773209232012017,0.08760728904863131,"[-0.029, 0.060]",0.548118914682382,0.05735896336471499,"[0.519, 0.577]","[0.563, 0.603]"
QDT,PCA,gwo,15,0.49565951397218894,0.06226373581353135,"[0.464, 0.527]",0.7099747355350368,0.04835913838018124,"[0.686, 0.734]",0.463641456582633,0.14789867462056835,"[0.389, 0.538]",0.5428453855180888,0.1309888451967073,"[0.477, 0.609]",0.5147941875805653,0.04303422729994245,"[0.493, 0.537]",0.03104231839302739,0.08200498072864554,"[-0.010, 0.073]",0.5165759452678956,0.044806105343940396,"[0.494, 0.539]","[0.457, 0.592]"
QDT,LDA,default,15,0.4760406948331778,0.08230406640362822,"[0.434, 0.518]",0.697909437871702,0.06840822805955277,"[0.663, 0.733]",0.41901960784313724,0.19196931431287498,"[0.322, 0.516]",0.4983900833491043,0.1665887681496334,"[0.414, 0.583]",0.5112192056309702,0.05814106993417057,"[0.482, 0.541]",0.019051385270577304,0.11512799067826106,"[-0.039, 0.077]",0.5235146910766105,0.06882437259068057,"[0.489, 0.558]","[0.401, 0.570]"
QDT,LDA,gwo,15,0.48537473899329164,0.07614116624052053,"[0.447, 0.524]",0.7186234538459996,0.07979783983106181,"[0.678, 0.759]",0.4061531279178337,0.1859087674979359,"[0.312, 0.500]",0.4942727980167494,0.172543298301439,"[0.407, 0.582]",0.5330135860012021,0.03821686296183118,"[0.514, 0.552]",0.06332085913961309,0.08098856629450872,"[0.022, 0.104]",0.5257149094455597,0.05323819318442264,"[0.499, 0.553]","[0.391, 0.562]"
